id,name,type,source,count
E00531,知识图谱的搜索有,概念,regex,1
E00532,知识图谱的背景,概念,regex,1
E00533,知识图谱的定义之,概念,regex,1
E00534,知识是人类在实践,概念,regex,1
E00535,知识是人类,概念,regex,1
E00536,知识是人类对信息,概念,regex,1
E00537,数据和信息的凝炼,概念,regex,1
E00538,知识到智慧,概念,regex,1
E00539,客观存在,概念,pos_tag,1
E00540,意义,概念,pos_tag,1
E00541,客观事实,概念,pos_tag,1
E00542,明臂展,人物,pos_tag,1
E00543,陈述,人物,pos_tag,1
E00544,范畴,人物,pos_tag,1
E00545,层面,概念,pos_tag,1
E00546,普通人,概念,pos_tag,1
E00547,英文,概念,pos_tag,1
E00548,图论,概念,pos_tag,1
E00549,数学,概念,pos_tag,1
E00550,分支,概念,pos_tag,1
E00551,事物,概念,pos_tag,1
E00552,名词,概念,pos_tag,1
E00553,条边,概念,pos_tag,1
E00554,字面上,概念,pos_tag,1
E00555,计算机所,概念,pos_tag,1
E00556,国籍,概念,pos_tag,1
E00557,符号,概念,pos_tag,1
E00558,方式,概念,pos_tag,1
E00559,框架,概念,pos_tag,1
E00560,主语,概念,pos_tag,1
E00561,谓语,概念,pos_tag,1
E00562,宾语,概念,pos_tag,1
E00563,Zeleny,技术,regex,1
E00564,Know,技术,regex,1
E00565,Why,技术,regex,1
E00566,Object,技术,regex,1
E00567,Vertice,技术,regex,1
E00568,Node,技术,regex,1
E00569,Edge,技术,regex,1
E00570,Resource Description Framework,技术,regex,1
E00571,RDF,技术,regex,1
E00572,Subject,技术,regex,1
E00573,Predicate,技术,regex,1
E00574,Resource,工具,regex,1
E00575,Description,工具,regex,1
E00576,Framework,工具,regex,1
E00577,那么什么是图谱,概念,regex,1
E00578,就是用图的形式将知识表示,概念,regex,1
E00579,计算机所能理解的语言表示,概念,regex,1
E00580,构建一个简单的知识图谱,概念,regex,1
E00581,一种常用的基于符号的知识,概念,regex,1
E00582,它把知识表示,概念,regex,1
E00583,数据不具有任何意,概念,regex,1
E00584,信息层面的抽象和,概念,regex,1
E00585,知识图谱就是用图,概念,regex,1
E00586,知识表示出来,概念,regex,1
E00587,语义实体或概念,概念,regex,1
E00588,语义关系,概念,regex,1
E00589,知识表示方式,概念,regex,1
E00590,知识表示为,概念,regex,1
E00591,Resource Description,人物,regex,1
E00592,三元组,概念,pos_tag,1
E00593,结构化,概念,pos_tag,1
E00594,章节,概念,pos_tag,1
E00595,历程,概念,pos_tag,1
E00596,剑桥,地点,pos_tag,1
E00597,研究所,概念,pos_tag,1
E00598,含义,概念,pos_tag,1
E00599,数据结构,概念,pos_tag,1
E00600,手段,概念,pos_tag,1
E00601,地将,概念,pos_tag,1
E00602,世纪,概念,pos_tag,1
E00603,人员,概念,pos_tag,1
E00604,哲学,概念,pos_tag,1
E00605,计算机,概念,pos_tag,1
E00606,产生,概念,pos_tag,1
E00607,愿景,概念,pos_tag,1
E00608,中心,概念,pos_tag,1
E00609,信息系统,概念,pos_tag,1
E00610,层次化,概念,pos_tag,1
E00611,万维网,概念,pos_tag,1
E00612,局限,概念,pos_tag,1
E00613,Richard,技术,regex,1
E00614,Richens,技术,regex,1
E00615,Ontology,技术,regex,1
E00616,Web,技术,regex,1
E00617,Tim Berners,技术,regex,1
E00618,Lee,技术,regex,1
E00619,Information Management,技术,regex,1
E00620,Proposal,技术,regex,1
E00621,Linked Information System,技术,regex,1
E00622,Tim,技术,regex,1
E00623,为中心的信息系统,技术,regex,1
E00624,Berners,工具,regex,1
E00625,Information,工具,regex,1
E00626,Management,工具,regex,1
E00627,Linked,工具,regex,1
E00628,System,工具,regex,1
E00629,上一节对知识图谱,概念,regex,1
E00630,成的语义网络,概念,regex,1
E00631,那么该如何准确定义知识,概念,regex,1
E00632,已经简单介绍了语义网络,概念,regex,1
E00633,种知识表示,概念,regex,1
E00634,将自然语言转化为图来表示,概念,regex,1
E00635,知识图谱定义知识,概念,regex,1
E00636,而真正对知识图谱,概念,regex,1
E00637,知识图谱给出了一,概念,regex,1
E00638,知识图谱呢,概念,regex,1
E00639,知识图谱概念的演,概念,regex,1
E00640,语义网络由剑桥语,概念,regex,1
E00641,语义网络的含义,概念,regex,1
E00642,知识表示的手段,概念,regex,1
E00643,知识图谱产生深远,概念,regex,1
E00644,Linked Information,人物,regex,1
E00645,国际,概念,pos_tag,1
E00646,大会,概念,pos_tag,1
E00647,人们,概念,pos_tag,1
E00648,或事物,概念,pos_tag,1
E00649,义网,概念,pos_tag,1
E00650,信息网,概念,pos_tag,1
E00651,文档,概念,pos_tag,1
E00652,互联网,概念,pos_tag,1
E00653,媒介,概念,pos_tag,1
E00654,将语,概念,pos_tag,1
E00655,后文,概念,pos_tag,1
E00656,设想,概念,pos_tag,1
E00657,理念,概念,pos_tag,1
E00658,商业化,概念,pos_tag,1
E00659,沿用至今,概念,pos_tag,1
E00660,数据库,概念,pos_tag,1
E00661,信息检索,概念,pos_tag,1
E00662,图形化,概念,pos_tag,1
E00663,利用计算机,概念,pos_tag,1
E00664,辅助,技术,pos_tag,1
E00665,Semantic Web,技术,regex,1
E00666,Meta Data,技术,regex,1
E00667,Thing,技术,regex,1
E00668,Linked Data,技术,regex,1
E00669,Linked Open Data,技术,regex,1
E00670,LOD,技术,regex,1
E00671,NLP,技术,regex,1
E00672,KR,技术,regex,1
E00673,DB,技术,regex,1
E00674,AI,技术,regex,1
E00675,Meta,工具,regex,1
E00676,Data,工具,regex,1
E00677,Open,工具,regex,1
E00678,如何利用知识库,工具,regex,1
E00679,是一种数据互连的语义网络,概念,regex,1
E00680,义网理解为知识,概念,regex,1
E00681,其提出的知识图谱,概念,regex,1
E00682,从以下几个角度去了解知识,概念,regex,1
E00683,表示和处理知识,概念,regex,1
E00684,需要了解如何利用知识,概念,regex,1
E00685,数据或事物本身,概念,regex,1
E00686,语义信息,概念,regex,1
E00687,数据之间的链接,概念,regex,1
E00688,数据互连的语义网,概念,regex,1
E00689,信息网上的文档添,概念,regex,1
E00690,信息交换媒介,概念,regex,1
E00691,知识的互联网,概念,regex,1
E00692,数据作为语义网的,概念,regex,1
E00693,语义网中的一些理,概念,regex,1
E00694,知识图谱概念也,概念,regex,1
E00695,知识图谱的概念是,概念,regex,1
E00696,数据之间的语义链,概念,regex,1
E00697,语义搜索,概念,regex,1
E00698,信息检索方式,概念,regex,1
E00699,知识图谱需要了解,概念,regex,1
E00700,语义和结构化数据,概念,regex,1
E00701,知识库来辅助,概念,regex,1
E00702,Linked Open,人物,regex,1
E00703,电子科技,概念,pos_tag,1
E00704,大学,概念,pos_tag,1
E00705,刘峤,人物,pos_tag,1
E00706,教授,概念,pos_tag,1
E00707,物理,概念,pos_tag,1
E00708,单位,概念,pos_tag,1
E00709,网状,概念,pos_tag,1
E00710,知识结构,概念,pos_tag,1
E00711,清华大学,组织,pos_tag,1
E00712,李涓子,人物,pos_tag,1
E00713,能力,概念,pos_tag,1
E00714,浙江大学,组织,pos_tag,1
E00715,陈华钧,人物,pos_tag,1
E00716,视觉,概念,pos_tag,1
E00717,东南大学,组织,pos_tag,1
E00718,桂林,人物,pos_tag,1
E00719,本质,概念,pos_tag,1
E00720,学术界,概念,pos_tag,1
